,band0,band1,band2,band3,band4,band5,band6,band7
acceptable,1.650348678231239319e-02,1.741304993629455566e-02,6.502240896224975586e-03,8.134126663208007812e-03,7.268801331520080566e-03,7.623450364917516708e-03,1.161486469209194183e-02,4.547953605651855469e-03
observe,2.475523017346858978e-02,2.611957490444183350e-02,9.753361344337463379e-03,1.220118999481201172e-02,1.090320199728012085e-02,1.143517531454563141e-02,1.742229610681533813e-02,6.821930408477783203e-03
alert,3.713284432888031006e-02,3.917936235666275024e-02,1.463004201650619507e-02,1.830178499221801758e-02,1.635480299592018127e-02,1.715276390314102173e-02,2.613344416022300720e-02,1.023289561271667480e-02
critical,5.569926649332046509e-02,5.876904353499412537e-02,2.194506302475929260e-02,2.745267748832702637e-02,2.453220449388027191e-02,2.572914585471153259e-02,3.920016437768936157e-02,1.534934341907501221e-02
