,band0,band1,band2,band3,band4,band5,band6,band7
acceptable,1.928496733307838440e-02,1.369898021221160889e-02,1.054053008556365967e-02,1.250620186328887939e-02,8.170887827873229980e-03,1.156246662139892578e-02,8.644852787256240845e-03,8.512454107403755188e-03
observe,2.892745099961757660e-02,2.054847031831741333e-02,1.581079512834548950e-02,1.875930279493331909e-02,1.225633174180984497e-02,1.734369993209838867e-02,1.296727918088436127e-02,1.276868116110563278e-02
alert,4.339117556810379028e-02,3.082270547747612000e-02,2.371619269251823425e-02,2.813895419239997864e-02,1.838449761271476746e-02,2.601554989814758301e-02,1.945091784000396729e-02,1.915302127599716187e-02
critical,6.508676707744598389e-02,4.623405635356903076e-02,3.557428717613220215e-02,4.220843315124511719e-02,2.757674641907215118e-02,3.902332484722137451e-02,2.917637676000595093e-02,2.872953191399574280e-02
