,band0,band1,band2,band3,band4,band5,band6,band7
acceptable,1.554924249649047852e-02,3.256506845355033875e-02,1.294588856399059296e-02,2.153547108173370361e-02,1.328700780868530273e-02,3.249812126159667969e-02,1.234081201255321503e-02,1.082066819071769714e-02
observe,2.332386374473571777e-02,4.884760081768035889e-02,1.941883191466331482e-02,3.230320662260055542e-02,1.993051171302795410e-02,4.874718189239501953e-02,1.851121708750724792e-02,1.623100228607654572e-02
alert,3.498579561710357666e-02,7.327140122652053833e-02,2.912824787199497223e-02,4.845480993390083313e-02,2.989576756954193115e-02,7.312077283859252930e-02,2.776682563126087189e-02,2.434650436043739319e-02
critical,5.247869342565536499e-02,1.099071055650711060e-01,4.369237273931503296e-02,7.268221676349639893e-02,4.484365135431289673e-02,1.096811592578887939e-01,4.165023937821388245e-02,3.651975840330123901e-02
